"Format","AiM CSV File"
"Session","PittRace"
"Vehicle","Yamaha R3"
"Racer","John Robinson"
"Championship","WERA Endurance"
"Comment",""
"Date","Sunday, August 13, 2023"
"Time","3:28 PM"
"Sample Rate","20"
"Duration","1016"
"Segment","Session"
"Beacon Markers","1.859","142.238","279.237","415.85","551.542","686.894","821.251","1016"
"Segment Times","0:01.859","2:20.379","2:16.999","2:16.613","2:15.692","2:15.352","2:14.357","3:14.746"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","m"

"0.000","6.4202","14","0.0000","0.0000","0.2579","-108.8226","0.0000","333.4805","2150.0001","0.5400","10000.0000","40.85076014","-80.34763885","0.0000","0.0000"
"0.050","6.4202","14","0.0000","0.0000","0.2579","-108.8226","0.0000","333.4805","2150.0001","0.5400","10000.0000","40.85076014","-80.34763885","0.0000","0.0000"
"0.100","6.4202","14","0.0000","0.0000","0.2579","-108.8226","0.0000","333.4805","2150.0001","0.5400","10000.0000","40.85076014","-80.34763885","0.0000","0.0000"
"0.150","6.6792","14","-0.0120","0.0737","0.2456","-109.1998","-3.7717","333.4797","2148.7999","0.5400","28.1843","40.85076002","-80.34763919","0.0000","0.0250"
"0.200","7.7581","14","-0.0618","0.3807","0.1941","-110.7713","-19.4870","333.4767","2143.8000","0.5400","6.3362","40.85075951","-80.34764065","0.0000","0.1292"
"0.250","8.9158","14","-0.0838","0.6360","0.1878","-111.8734","-26.7365","333.4794","2137.5999","0.5400","5.3073","40.85075896","-80.34764224","0.0000","0.2416"
"0.300","10.3226","14","-0.0177","0.7276","0.3245","-111.4890","-7.1771","333.5001","2127.6000","0.5400","22.8907","40.85075833","-80.34764429","0.0000","0.3803"
"0.350","11.6610","14","0.0263","0.7778","0.3831","-111.2388","6.3462","333.5119","2118.7999","0.5400","29.2442","40.85075769","-80.34764637","0.0000","0.5274"
"0.400","12.7825","14","0.0002","0.6970","0.1941","-111.4135","0.7556","333.4956","2113.8000","0.5400","269.2403","40.85075704","-80.34764855","0.0000","0.7012"
"0.450","13.9509","14","-0.0265","0.6488","0.0395","-111.6818","-4.4303","333.4823","2108.7999","0.5400","50.1173","40.85075634","-80.34765082","0.0000","0.8831"
"0.500","15.2676","14","-0.0547","0.7044","-0.0063","-112.2469","-8.3348","333.4781","2103.8001","0.5400","29.1540","40.85075548","-80.34765341","0.0000","1.0908"
"0.550","16.5787","14","-0.0611","0.7450","-0.0402","-112.6025","-9.2072","333.4763","2097.6000","0.5400","28.6580","40.85075462","-80.34765610","0.0000","1.3071"
"0.600","17.8721","14","0.0017","0.7382","-0.0359","-112.2947","-0.4779","333.4821","2087.6000","0.5400","595.1812","40.85075374","-80.34765912","0.0000","1.5510"
"0.650","19.1734","14","0.0444","0.7352","-0.0609","-112.0514","5.5114","333.4814","2078.8000","0.5400","55.3677","40.85075283","-80.34766223","0.0000","1.8037"
"0.700","20.5000","14","0.0233","0.7445","-0.1787","-112.0123","2.8243","333.4600","2073.8001","0.5400","115.5221","40.85075180","-80.34766559","0.0000","2.0840"
"0.750","21.8210","14","0.0088","0.7465","-0.2734","-111.9234","0.9169","333.4420","2068.8000","0.5400","378.7666","40.85075075","-80.34766907","0.0000","2.3731"
"0.800","23.1240","14","0.0153","0.7250","-0.2950","-111.6769","1.4786","333.4349","2063.8001","0.5400","248.8988","40.85074962","-80.34767289","0.0000","2.6899"
"0.850","24.4088","14","0.0233","0.7100","-0.3181","-111.5082","2.1376","333.4255","2058.8000","0.5400","181.7383","40.85074846","-80.34767679","0.0000","3.0151"
"0.900","25.6358","14","0.0360","0.7155","-0.3458","-111.5856","3.1043","333.4091","2053.8001","0.5400","131.4324","40.85074721","-80.34768092","0.0000","3.3671"
"0.950","26.8429","14","0.0437","0.7153","-0.3818","-111.6061","3.6522","333.3913","2047.6000","0.5486","116.9751","40.85074596","-80.34768512","0.0000","3.7270"
"1.000","27.9870","14","0.0359","0.6972","-0.4445","-111.4466","2.8738","333.3689","2037.6000","0.5846","154.9943","40.85074464","-80.34768954","0.0000","4.1119"
"1.050","29.1549","17","0.0276","0.6841","-0.5088","-111.2385","2.0939","333.3472","2028.8000","0.6163","221.5977","40.85074331","-80.34769409","0.0000","4.5047"
"1.100","30.3982","17","0.0177","0.6868","-0.5782","-110.8769","1.3094","333.3277","2023.7999","0.6343","369.4965","40.85074191","-80.34769902","0.0000","4.9228"
"1.150","31.6600","17","0.0123","0.6903","-0.6465","-110.6697","0.8402","333.3076","2018.8000","0.6480","599.6967","40.85074047","-80.34770404","0.0000","5.3494"
"1.200","32.9805","17","0.0209","0.6966","-0.7110","-110.9515","1.3701","333.2861","2013.7999","0.6480","383.1090","40.85073885","-80.34770935","0.0000","5.8030"
"1.250","34.2745","17","0.0266","0.7074","-0.7574","-111.1686","1.7040","333.2682","2008.8000","0.6480","320.1235","40.85073720","-80.34771477","0.0000","6.2651"
"1.300","35.4844","17","0.0229","0.7330","-0.7469","-111.1807","1.4173","333.2615","2003.7999","0.6480","398.4563","40.85073547","-80.34772048","0.0000","6.7539"
"1.350","36.7469","17","0.0195","0.7572","-0.7360","-111.0912","1.1591","333.2552","1998.8000","0.6394","504.5804","40.85073373","-80.34772633","0.0000","7.2515"
"1.400","38.1763","17","0.0173","0.7769","-0.7236","-110.6798","0.9907","333.2503","1993.8000","0.6034","613.2935","40.85073198","-80.34773259","0.0000","7.7770"
"1.450","39.6015","17","0.0148","0.7921","-0.7155","-110.3885","0.8172","333.2434","1988.8000","0.5760","771.2719","40.85073018","-80.34773893","0.0000","8.3119"
"1.500","41.0129","17","0.0117","0.7927","-0.7211","-110.4774","0.6274","333.2301","1983.8001","0.5760","1040.4694","40.85072820","-80.34774552","0.0000","8.8768"
"1.550","42.4681","17","0.0096","0.7880","-0.7276","-110.5874","0.4913","333.2150","1977.6000","0.5717","1375.6415","40.85072618","-80.34775224","0.0000","9.4518"
"1.600","44.0616","17","0.0107","0.7665","-0.7372","-110.7643","0.5258","333.1942","1967.6000","0.5537","1333.8260","40.85072402","-80.34775938","0.0000","10.0584"
"1.650","45.4727","17","0.0117","0.7424","-0.7506","-110.8641","0.5583","333.1730","1958.8000","0.5400","1296.3021","40.85072186","-80.34776655","0.0000","10.6732"
"1.700","46.3060","17","0.0127","0.7106","-0.7763","-110.7198","0.5849","333.1508","1953.8000","0.5400","1260.0046","40.85071971","-80.34777380","0.0000","11.3135"
"1.750","47.2366","17","0.0069","0.6781","-0.7976","-110.5877","0.3228","333.1295","1948.8000","0.5400","2329.2817","40.85071754","-80.34778117","0.0000","11.9608"
"1.800","48.4751","17","-0.0202","0.6432","-0.8049","-110.4943","-0.8538","333.1109","1943.8000","0.5400","903.6313","40.85071531","-80.34778886","0.0000","12.6299"
"1.850","49.6194","17","-0.0455","0.6094","-0.8107","-110.5268","-1.9338","333.0931","1937.6000","0.5400","408.3672","40.85071302","-80.34779660","0.0000","13.3060"
"1.900","50.4650","17","-0.0654","0.5788","-0.8124","-110.9583","-2.7084","333.0783","1927.6000","0.5400","296.5536","40.85071058","-80.34780445","0.0000","14.0041"
"1.950","51.3642","17","-0.0803","0.5565","-0.8073","-111.2469","-3.2767","333.0679","1918.8000","0.5400","249.4870","40.85070813","-80.34781238","0.0000","14.7086"
"2.000","52.4332","17","-0.0798","0.5605","-0.7807","-111.0831","-3.1920","333.0713","1913.8000","0.5400","261.4388","40.85070566","-80.34782057","0.0000","15.4333"
"2.050","53.5109","17","-0.0819","0.5662","-0.7593","-111.1048","-3.2102","333.0663","1907.6000","0.5400","265.2941","40.85070309","-80.34782884","0.0000","16.1652"
"2.100","54.6165","17","-0.0925","0.5778","-0.7540","-111.7137","-3.5546","333.0341","1897.6001","0.5400","244.5400","40.85070019","-80.34783740","0.0000","16.9201"
"2.150","55.7044","17","-0.0962","0.5857","-0.7532","-112.1867","-3.6376","333.0049","1887.5999","0.5400","243.7220","40.85069729","-80.34784600","0.0000","17.6821"
"2.200","56.7360","17","-0.0777","0.5820","-0.7665","-112.2293","-2.8927","332.9848","1877.6000","0.5400","312.1612","40.85069441","-80.34785475","0.0000","18.4666"
"2.250","57.7456","17","-0.0527","0.5640","-0.7676","-112.1844","-1.9276","332.9716","1868.8000","0.5400","476.7878","40.85069155","-80.34786358","0.0000","19.2577"
"2.300","58.6849","17","-0.0066","0.5004","-0.7302","-111.8624","-0.2653","332.9796","1863.8000","0.5400","3520.9119","40.85068875","-80.34787267","0.0000","20.0697"
"2.350","59.5200","17","0.0344","0.4443","-0.6994","-111.6312","1.2035","332.9848","1857.6000","0.5443","787.0829","40.85068592","-80.34788179","0.0000","20.8864"
"2.400","60.0249","17","0.0598","0.4115","-0.6895","-111.6879","2.0596","332.9812","1847.6000","0.5623","463.8353","40.85068304","-80.34789105","0.0000","21.7184"
"2.450","60.4766","17","0.0774","0.3764","-0.6947","-111.6355","2.6464","332.9716","1838.8000","0.5760","363.7091","40.85068020","-80.34790035","0.0000","22.5531"
"2.500","60.7598","17","0.0704","0.3337","-0.7481","-111.2375","2.3803","332.9430","1833.8000","0.5760","406.2573","40.85067750","-80.34790978","0.0000","23.3960"
"2.550","61.1639","17","0.0667","0.3052","-0.7893","-110.9837","2.2294","332.9187","1828.8000","0.5760","436.6525","40.85067475","-80.34791928","0.0000","24.2425"
"2.600","61.9508","17","0.0738","0.3215","-0.7921","-111.1866","2.4429","332.9078","1823.8000","0.5760","403.6129","40.85067179","-80.34792895","0.0000","25.1003"
"2.650","62.7241","17","0.0660","0.3429","-0.8030","-111.3572","2.1743","332.8921","1818.8000","0.5803","459.1350","40.85066884","-80.34793868","0.0000","25.9632"
"2.700","63.4543","17","0.0112","0.3806","-0.8398","-111.4255","0.3789","332.8614","1813.8000","0.5983","2665.2295","40.85066586","-80.34794857","0.0000","26.8420"
"2.750","64.2547","17","-0.0311","0.4191","-0.8672","-111.4443","-1.0029","332.8332","1808.8000","0.6077","1019.6976","40.85066287","-80.34795857","0.0000","27.7268"
"2.800","65.2776","17","-0.0338","0.4600","-0.8648","-111.3068","-1.0751","332.8130","1803.8000","0.5897","966.3190","40.85065981","-80.34796891","0.0000","28.6300"
"2.850","66.2981","17","-0.0334","0.4982","-0.8657","-111.2312","-1.0527","332.7915","1798.8000","0.5803","1002.3297","40.85065672","-80.34797931","0.0000","29.5400"
"2.900","67.3105","17","-0.0234","0.5278","-0.8768","-111.3512","-0.7305","332.7664","1793.8000","0.5983","1466.5016","40.85065353","-80.34798991","0.0000","30.4715"
"2.950","68.2048","17","-0.0195","0.5450","-0.8898","-111.4622","-0.5937","332.7419","1790.0000","0.6077","1828.2604","40.85065032","-80.34800053","0.0000","31.4081"
"3.000","68.7250","17","-0.0348","0.5230","-0.9089","-111.5446","-1.0443","332.7192","1790.0000","0.5897","1047.4402","40.85064711","-80.34801125","0.0000","32.3609"
"3.050","69.3369","17","-0.0425","0.4912","-0.9259","-111.5777","-1.2690","332.6976","1788.8000","0.5803","869.6245","40.85064388","-80.34802205","0.0000","33.3184"
"3.100","70.2388","17","-0.0263","0.4282","-0.9365","-111.4547","-0.7787","332.6792","1783.8000","0.5983","1435.6050","40.85064063","-80.34803308","0.0000","34.2909"
"3.150","71.0781","17","-0.0193","0.3647","-0.9453","-111.4229","-0.5582","332.6582","1778.8000","0.6077","2026.6978","40.85063733","-80.34804416","0.0000","35.2686"
"3.200","71.7193","17","-0.0417","0.2998","-0.9484","-111.6801","-1.1919","332.6291","1773.8000","0.5897","957.6407","40.85063387","-80.34805539","0.0000","36.2626"
"3.250","72.2082","17","-0.0591","0.2327","-0.9505","-111.8997","-1.6831","332.6010","1768.8000","0.5760","682.7932","40.85063041","-80.34806659","0.0000","37.2587"
"3.300","72.2150","17","-0.0608","0.1587","-0.9491","-112.0005","-1.7228","332.5763","1763.8000","0.5760","667.1210","40.85062697","-80.34807770","0.0000","38.2617"
"3.350","72.1687","17","-0.0596","0.0914","-0.9507","-112.0527","-1.6805","332.5516","1760.0000","0.5760","683.4854","40.85062356","-80.34808880","0.0000","39.2639"
"3.400","71.9538","17","-0.0490","0.0453","-0.9621","-111.9504","-1.3784","332.5267","1760.0000","0.5760","830.8010","40.85062025","-80.34809983","0.0000","40.2640"
"3.450","71.7892","17","-0.0424","0.0060","-0.9666","-111.9065","-1.1883","332.5055","1758.8000","0.5760","961.5030","40.85061690","-80.34811086","0.0000","41.2633"
"3.500","71.7838","17","-0.0483","-0.0121","-0.9497","-112.0469","-1.3529","332.4962","1753.8000","0.5760","844.4774","40.85061346","-80.34812187","0.0000","42.2604"
"3.550","71.8546","17","-0.0520","-0.0230","-0.9338","-112.1899","-1.4579","332.4866","1748.8000","0.5803","784.3946","40.85061001","-80.34813292","0.0000","43.2584"
"3.600","72.1667","17","-0.0490","-0.0109","-0.9216","-112.3412","-1.3746","332.4764","1743.8000","0.5983","835.5859","40.85060652","-80.34814406","0.0000","44.2597"
"3.650","72.3810","17","-0.0427","0.0175","-0.9117","-112.4300","-1.1997","332.4635","1740.0000","0.6120","960.2152","40.85060305","-80.34815519","0.0000","45.2617"
"3.700","72.2858","17","-0.0262","0.0979","-0.9096","-112.3214","-0.7352","332.4422","1740.0000","0.6120","1564.9117","40.85059964","-80.34816630","0.0000","46.2660"
"3.750","72.4365","17","-0.0163","0.1775","-0.9009","-112.2726","-0.4561","332.4239","1738.8000","0.6120","2527.7759","40.85059618","-80.34817750","0.0000","47.2730"
"3.800","73.3659","17","-0.0274","0.2544","-0.8710","-112.4135","-0.7643","332.4152","1733.8001","0.6120","1527.7593","40.85059256","-80.34818896","0.0000","48.2889"
"3.850","74.1830","17","-0.0338","0.3202","-0.8457","-112.5293","-0.9398","332.4053","1728.8001","0.6077","1256.2489","40.85058892","-80.34820047","0.0000","49.3094"
"3.900","74.6450","17","-0.0251","0.3512","-0.8350","-112.5651","-0.6952","332.3919","1723.7999","0.5897","1708.8160","40.85058521","-80.34821212","0.0000","50.3446"
"3.950","75.1590","17","-0.0149","0.3745","-0.8320","-112.5584","-0.4090","332.3721","1720.0000","0.5760","2925.0010","40.85058152","-80.34822380","0.0000","51.3836"
"4.000","75.8378","17","0.0005","0.3739","-0.8533","-112.4165","0.0093","332.3320","1720.0000","0.5760","10000.0000","40.85057784","-80.34823559","0.0000","52.4346"
"4.050","76.5466","17","0.0085","0.3661","-0.8637","-112.3402","0.2302","332.2986","1718.7999","0.5760","5293.2764","40.85057413","-80.34824743","0.0000","53.4906"
"4.100","77.3503","17","-0.0066","0.3357","-0.8394","-112.4714","-0.1738","332.2860","1713.8000","0.5760","7083.6431","40.85057030","-80.34825946","0.0000","54.5623"
"4.150","77.9822","17","-0.0205","0.3015","-0.8276","-112.5809","-0.5414","332.2674","1708.8000","0.5803","2292.3877","40.85056649","-80.34827148","0.0000","55.6369"
"4.200","78.0703","17","-0.0303","0.2548","-0.8552","-112.6220","-0.7940","332.2296","1703.8000","0.5983","1564.8848","40.85056273","-80.34828345","0.0000","56.7209"
"4.250","78.1998","17","-0.0378","0.2063","-0.8771","-112.6508","-0.9863","332.1944","1700.0000","0.6163","1261.8417","40.85055896","-80.34829546","0.0000","57.8060"
"4.300","78.4602","17","-0.0381","0.1519","-0.8812","-112.6402","-0.9878","332.1672","1700.0000","0.6343","1264.1782","40.85055512","-80.34830752","0.0000","58.8949"
"4.350","78.6405","17","-0.0421","0.1182","-0.8823","-112.6803","-1.0877","332.1438","1698.8000","0.6437","1150.6815","40.85055129","-80.34831955","0.0000","59.9844"
"4.400","78.5674","17","-0.0582","0.1503","-0.8735","-112.8811","-1.4994","332.1325","1693.8000","0.6257","833.9336","40.85054745","-80.34833147","0.0000","61.0758"
"4.450","78.7092","17","-0.0688","0.1772","-0.8595","-113.0230","-1.7685","332.1211","1690.0001","0.6120","708.3474","40.85054358","-80.34834350","0.0000","62.1698"
"4.500","79.5316","17","-0.0619","0.1878","-0.8290","-112.9780","-1.5856","332.1093","1690.0001","0.6120","798.3063","40.85053962","-80.34835591","0.0000","63.2717"
"4.550","80.2987","17","-0.0521","0.2072","-0.8010","-112.9833","-1.3292","332.0985","1688.8000","0.6120","961.4732","40.85053563","-80.34836834","0.0000","64.3782"
"4.600","80.8905","17","-0.0330","0.2544","-0.7813","-113.1477","-0.8401","332.0908","1683.8000","0.6120","1532.4874","40.85053152","-80.34838084","0.0000","65.4997"
"4.650","81.4668","17","-0.0181","0.2996","-0.7683","-113.2317","-0.4574","332.0784","1679.9999","0.6120","2834.5703","40.85052744","-80.34839335","0.0000","66.6250"
"4.700","81.9939","17","-0.0164","0.3383","-0.7768","-113.0617","-0.4119","332.0513","1679.9999","0.6120","3168.3174","40.85052343","-80.34840593","0.0000","67.7620"
"4.750","82.5019","17","-0.0116","0.3638","-0.7779","-112.9651","-0.2897","332.0293","1678.8000","0.6120","4531.8477","40.85051937","-80.34841853","0.0000","68.9023"
"4.800","82.9495","17","0.0031","0.3472","-0.7552","-113.1010","0.0750","332.0239","1673.8000","0.6120","10000.0000","40.85051519","-80.34843122","0.0000","70.0529"
"4.850","83.4305","17","0.0162","0.3309","-0.7325","-113.1800","0.3972","332.0178","1668.8000","0.6120","3343.3674","40.85051101","-80.34844397","0.0000","71.2069"
"4.900","84.0170","17","0.0240","0.3155","-0.7099","-113.0786","0.5846","332.0098","1663.8000","0.6120","2287.4739","40.85050685","-80.34845690","0.0000","72.3719"
"4.950","84.5762","17","0.0274","0.2969","-0.6884","-112.9931","0.6638","332.0049","1660.0000","0.6120","2027.8789","40.85050269","-80.34846986","0.0000","73.5404"
"5.000","85.0492","17","0.0166","0.2679","-0.6708","-112.9580","0.4004","332.0097","1660.0000","0.6120","3380.4983","40.85049854","-80.34848292","0.0000","74.7200"
"5.050","85.5479","17","0.0101","0.2530","-0.6522","-112.9414","0.2399","332.0127","1658.8000","0.6120","5674.5605","40.85049438","-80.34849600","0.0000","75.9032"
"5.100","86.1277","17","0.0171","0.2828","-0.6306","-112.9831","0.4053","332.0103","1653.8000","0.6120","3382.2495","40.85049018","-80.34850912","0.0000","77.0975"
"5.150","86.6571","17","0.0196","0.3041","-0.6091","-113.0066","0.4644","332.0077","1648.8000","0.6120","2969.6599","40.85048596","-80.34852228","0.0000","78.2949"
"5.200","87.0270","17","0.0079","0.2980","-0.5877","-112.9720","0.1873","332.0044","1643.8000","0.6120","7396.0229","40.85048170","-80.34853553","0.0000","79.5024"
"5.250","87.4825","17","0.0031","0.2917","-0.5622","-112.9376","0.0713","332.0066","1640.0000","0.6120","10000.0000","40.85047742","-80.34854884","0.0000","80.7135"
"5.300","88.2093","17","0.0201","0.2845","-0.5241","-112.9037","0.4655","332.0261","1640.0000","0.6120","3015.6062","40.85047310","-80.34856238","0.0000","81.9362"
"5.350","88.8387","17","0.0314","0.2773","-0.4931","-112.8745","0.7244","332.0406","1638.8000","0.6163","1951.8989","40.85046878","-80.34857589","0.0000","83.1625"
"5.400","89.1602","17","0.0241","0.2699","-0.4847","-112.8599","0.5543","332.0396","1633.8000","0.6343","2560.0151","40.85046444","-80.34858933","0.0000","84.3997"
"5.450","89.5015","17","0.0226","0.2659","-0.4747","-112.8337","0.5157","332.0402","1628.8000","0.6437","2762.4282","40.85046010","-80.34860281","0.0000","85.6394"
"5.500","89.9059","17","0.0394","0.2728","-0.4597","-112.7703","0.8932","332.0454","1623.8000","0.6257","1602.0212","40.85045571","-80.34861639","0.0000","86.8867"
"5.550","90.3641","17","0.0523","0.2791","-0.4435","-112.7057","1.1825","332.0525","1618.8000","0.6120","1216.2478","40.85045132","-80.34863005","0.0000","88.1375"
"5.600","90.9925","17","0.0531","0.2835","-0.4236","-112.6374","1.1924","332.0653","1613.8000","0.6120","1214.5303","40.85044694","-80.34864394","0.0000","89.3992"
"5.650","91.5890","17","0.0536","0.2895","-0.4015","-112.5609","1.1977","332.0795","1610.0000","0.6077","1217.0613","40.85044256","-80.34865786","0.0000","90.6647"
"5.700","92.0845","17","0.0535","0.3010","-0.3724","-112.4584","1.1885","332.0980","1610.0000","0.5897","1233.1200","40.85043819","-80.34867188","0.0000","91.9420"
"5.750","92.6153","17","0.0539","0.3084","-0.3441","-112.3960","1.1900","332.1160","1608.8001","0.5760","1238.6432","40.85043379","-80.34868598","0.0000","93.2231"
"5.800","93.2580","17","0.0558","0.3029","-0.3184","-112.4604","1.2255","332.1323","1603.8001","0.5760","1211.1317","40.85042932","-80.34870031","0.0000","94.5162"
"5.850","93.8611","17","0.0567","0.2999","-0.2938","-112.4702","1.2388","332.1472","1598.7999","0.5760","1205.8419","40.85042486","-80.34871468","0.0000","95.8130"
"5.900","94.3389","17","0.0544","0.3047","-0.2728","-112.3065","1.1821","332.1578","1593.7999","0.5760","1270.1946","40.85042043","-80.34872918","0.0000","97.1217"
"5.950","94.8074","17","0.0523","0.3025","-0.2506","-112.1655","1.1290","332.1691","1588.8000","0.5760","1336.4460","40.85041600","-80.34874371","0.0000","98.4334"
"6.000","95.2464","17","0.0507","0.2785","-0.2250","-112.0964","1.0879","332.1822","1583.8000","0.5760","1393.3798","40.85041155","-80.34875833","0.0000","99.7548"
"6.050","95.6594","17","0.0498","0.2585","-0.2000","-112.0591","1.0632","332.1953","1578.8000","0.5760","1432.0083","40.85040709","-80.34877297","0.0000","101.0788"
"6.100","95.9904","17","0.0513","0.2511","-0.1771","-112.1223","1.0902","332.2082","1573.8000","0.5760","1401.2961","40.85040259","-80.34878767","0.0000","102.4109"
"6.150","96.3687","17","0.0515","0.2475","-0.1524","-112.1284","1.0893","332.2238","1570.0001","0.5760","1408.0188","40.85039809","-80.34880243","0.0000","103.7458"
"6.200","96.8974","17","0.0475","0.2553","-0.1217","-111.9539","0.9997","332.2475","1570.0001","0.5760","1542.5662","40.85039362","-80.34881744","0.0000","105.0899"
"6.250","97.4475","17","0.0443","0.2619","-0.0888","-111.8242","0.9277","332.2730","1568.8000","0.5717","1671.7656","40.85038912","-80.34883247","0.0000","106.4377"
"6.300","98.0654","17","0.0437","0.2646","-0.0487","-111.8363","0.9112","332.3040","1563.8000","0.5537","1712.8517","40.85038453","-80.34884756","0.0000","107.7977"
"6.350","98.6165","17","0.0406","0.2683","-0.0137","-111.8416","0.8430","332.3331","1559.9999","0.5443","1861.7792","40.85037995","-80.34886268","0.0000","109.1608"
"6.400","98.9561","17","0.0295","0.2748","0.0056","-111.8253","0.6112","332.3559","1559.9999","0.5623","2576.6279","40.85037537","-80.34887788","0.0000","110.5341"
"6.450","99.3463","17","0.0249","0.2774","0.0295","-111.8089","0.5105","332.3808","1558.8000","0.5760","3097.5044","40.85037077","-80.34889314","0.0000","111.9103"
"6.500","99.8963","17","0.0404","0.2677","0.0679","-111.7922","0.8245","332.4122","1553.8000","0.5760","1928.2494","40.85036612","-80.34890861","0.0000","113.2959"
"6.550","100.3963","17","0.0512","0.2566","0.1047","-111.7438","1.0427","332.4435","1548.8000","0.5717","1532.4314","40.85036148","-80.34892407","0.0000","114.6845"
"6.600","100.7381","17","0.0472","0.2411","0.1366","-111.5947","0.9572","332.4745","1543.8000","0.5537","1675.0731","40.85035690","-80.34893952","0.0000","116.0825"
"6.650","101.0628","17","0.0417","0.2242","0.1749","-111.4940","0.8415","332.5097","1540.0000","0.5357","1911.3300","40.85035229","-80.34895500","0.0000","117.4826"
"6.700","101.3328","17","0.0314","0.2029","0.2334","-111.5467","0.6307","332.5582","1540.0000","0.5177","2557.0022","40.85034763","-80.34897055","0.0000","118.8891"
"6.750","101.6551","17","0.0268","0.1862","0.2905","-111.5661","0.5355","332.6088","1538.8000","0.5040","3021.3105","40.85034297","-80.34898615","0.0000","120.2981"
"6.800","102.1425","17","0.0405","0.1846","0.3430","-111.4798","0.8063","332.6662","1533.8000","0.5040","2016.2130","40.85033829","-80.34900190","0.0000","121.7151"
"6.850","102.5611","17","0.0478","0.1850","0.3932","-111.4204","0.9509","332.7227","1530.0000","0.5040","1716.6439","40.85033361","-80.34901764","0.0000","123.1344"
"6.900","102.7614","17","0.0351","0.1920","0.4364","-111.4461","0.6958","332.7768","1530.0000","0.5040","2350.5610","40.85032891","-80.34903339","0.0000","124.5610"
"6.950","103.0015","17","0.0253","0.1969","0.4753","-111.4525","0.5005","332.8253","1528.8000","0.5040","3275.5833","40.85032420","-80.34904919","0.0000","125.9895"
"7.000","103.3672","17","0.0251","0.1949","0.5003","-111.3979","0.4944","332.8558","1523.8000","0.5040","3327.7209","40.85031950","-80.34906514","0.0000","127.4239"
"7.050","103.7474","17","0.0251","0.1968","0.5317","-111.3465","0.4926","332.8898","1518.8000","0.4997","3352.2195","40.85031480","-80.34908117","0.0000","128.8610"
"7.100","104.1736","17","0.0258","0.2108","0.5830","-111.3049","0.5043","332.9349","1513.8000","0.4817","3287.5073","40.85031010","-80.34909744","0.0000","130.3064"
"7.150","104.6045","17","0.0276","0.2199","0.6279","-111.2702","0.5380","332.9782","1510.0000","0.4680","3094.2856","40.85030541","-80.34911373","0.0000","131.7547"
"7.200","105.0501","17","0.0330","0.2136","0.6527","-111.2569","0.6412","333.0157","1510.0000","0.4680","2607.2900","40.85030071","-80.34913005","0.0000","133.2123"
"7.250","105.4508","17","0.0332","0.2076","0.6799","-111.2320","0.6420","333.0536","1508.8000","0.4680","2614.1030","40.85029601","-80.34914641","0.0000","134.6722"
"7.300","105.7094","17","0.0165","0.2021","0.7152","-111.1706","0.3184","333.0929","1503.8000","0.4680","5284.4443","40.85029130","-80.34916292","0.0000","136.1395"
"7.350","105.9876","17","0.0041","0.1985","0.7502","-111.1448","0.0791","333.1326","1498.8000","0.4680","10000.0000","40.85028656","-80.34917942","0.0000","137.6088"
"7.400","106.3280","17","0.0056","0.2014","0.7844","-111.2317","0.1068","333.1734","1493.8000","0.4680","10000.0000","40.85028172","-80.34919589","0.0000","139.0845"
"7.450","106.6547","17","0.0042","0.1991","0.8180","-111.2944","0.0800","333.2167","1490.0000","0.4680","10000.0000","40.85027688","-80.34921236","0.0000","140.5622"
"7.500","106.9382","17","-0.0063","0.1810","0.8499","-111.2807","-0.1191","333.2679","1490.0000","0.4680","10000.0000","40.85027208","-80.34922884","0.0000","142.0465"
"7.550","107.2494","17","-0.0129","0.1680","0.8779","-111.2613","-0.2447","333.3168","1488.8000","0.4680","6976.9600","40.85026728","-80.34924536","0.0000","143.5331"
"7.600","107.6482","17","-0.0072","0.1716","0.8938","-111.2238","-0.1372","333.3590","1483.8001","0.4680","10000.0000","40.85026249","-80.34926200","0.0000","145.0269"
"7.650","108.0117","17","-0.0031","0.1751","0.9166","-111.2032","-0.0577","333.4065","1480.0000","0.4723","10000.0000","40.85025767","-80.34927866","0.0000","146.5228"
"7.700","108.2634","17","-0.0035","0.1783","0.9618","-111.2363","-0.0665","333.4706","1480.0000","0.4903","10000.0000","40.85025277","-80.34929535","0.0000","148.0256"
"7.750","108.5324","17","-0.0033","0.1805","1.0009","-111.2539","-0.0617","333.5303","1478.8001","0.5040","10000.0000","40.85024785","-80.34931207","0.0000","149.5304"
"7.800","108.8562","17","-0.0007","0.1797","1.0208","-111.2224","-0.0141","333.5759","1473.7999","0.5040","10000.0000","40.85024292","-80.34932886","0.0000","151.0412"
"7.850","109.1964","17","0.0034","0.1777","1.0395","-111.2028","0.0626","333.6221","1470.0000","0.5040","10000.0000","40.85023797","-80.34934568","0.0000","152.5544"
"7.900","109.5886","17","0.0125","0.1720","1.0545","-111.2208","0.2310","333.6702","1470.0000","0.5040","7549.0967","40.85023302","-80.34936260","0.0000","154.0751"
